,support,confidence,lhs,rhs,sale,recommendation,profit,mark
489,0.017,0.727,"['凉拌菠菜', '剁椒鱼头', '爆炒猪肝']",自制猪肉脯,0.42,0.86,0.4,6.599
423,0.017,0.889,"['焖猪手', '爆炒猪肝', '芹菜炒腰花', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.599
493,0.017,0.696,"['焖猪手', '芹菜炒腰花', '香酥两吃大虾']",自制猪肉脯,0.42,0.86,0.4,6.599
494,0.017,0.762,"['凉拌菠菜', '芹菜炒腰花', '豌豆薯仔猪骨汤']",自制猪肉脯,0.42,0.86,0.4,6.599
448,0.017,0.941,"['焖猪手', '芹菜炒腰花', '蒙古烤羊腿', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.599
492,0.017,0.727,"['芹菜炒腰花', '蒙古烤羊腿', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.599
455,0.017,0.889,"['焖猪手', '芹菜炒腰花', '蒙古烤羊腿']",自制猪肉脯,0.42,0.86,0.4,6.599
488,0.017,0.696,"['焖猪手', '芝士烩波士顿龙虾', '谷稻小庄']",自制猪肉脯,0.42,0.86,0.4,6.599
409,0.017,1.0,"['焖猪手', '爆炒猪肝', '芹菜炒腰花', '谷稻小庄']",自制猪肉脯,0.42,0.86,0.4,6.599
417,0.017,0.8420000000000001,"['焖猪手', '爆炒猪肝', '谷稻小庄']",自制猪肉脯,0.42,0.86,0.4,6.599
421,0.017,0.8420000000000001,"['凉拌菠菜', '美妙绝伦之白莲花', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.599
503,0.016,0.833,"['剁椒鱼头', '爆炒猪肝', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.597
509,0.016,0.833,"['剁椒鱼头', '焖猪手', '爆炒猪肝']",自制猪肉脯,0.42,0.86,0.4,6.597
540,0.016,0.625,"['凉拌菠菜', '芝士烩波士顿龙虾', '谷稻小庄']",自制猪肉脯,0.42,0.86,0.4,6.597
515,0.016,0.833,"['剁椒鱼头', '焖猪手', '芹菜炒腰花', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.597
541,0.016,0.6,"['凉拌菠菜', '焖猪手', '蒙古烤羊腿', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.597
529,0.016,0.789,"['凉拌菠菜', '焖猪手', '芹菜炒腰花', '豌豆薯仔猪骨汤']",自制猪肉脯,0.42,0.86,0.4,6.597
601,0.016,0.75,"['孜然羊排', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.597
599,0.016,0.938,"['凉拌菠菜', '芹菜炒腰花', '谷稻小庄', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.597
526,0.016,0.789,"['凉拌菠菜', '焖猪手', '谷稻小庄', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.597
554,0.016,0.6,"['剁椒鱼头', '焖猪手', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.597
553,0.016,0.6,"['凉拌菠菜', '芹菜炒腰花', '蒙古烤羊腿']",自制猪肉脯,0.42,0.86,0.4,6.597
706,0.015,0.8240000000000001,"['焖猪手', '美妙绝伦之白莲花', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.595
720,0.015,0.875,"['凉拌菠菜', '焖猪手', '芹菜炒腰花', '蒙古烤羊腿']",自制猪肉脯,0.42,0.86,0.4,6.595
722,0.015,0.875,"['剁椒鱼头', '焖猪手', '爆炒猪肝', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.595
636,0.015,0.9329999999999999,"['凉拌菠菜', '焖猪手', '芹菜炒腰花', '蒙古烤羊腿', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.595
649,0.015,0.636,"['凉拌菠菜', '焖猪手', '美妙绝伦之白莲花']",自制猪肉脯,0.42,0.86,0.4,6.595
673,0.015,0.609,"['水煮鱼', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.595
694,0.015,0.5379999999999999,"['芹菜炒腰花', '麻辣小龙虾']",自制猪肉脯,0.42,0.86,0.4,6.595
631,0.015,0.667,"['凉拌菠菜', '孜然羊排', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.595
731,0.015,0.519,"['剁椒鱼头', '蒙古烤羊腿', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.595
668,0.015,0.737,"['凉拌菠菜', '芹菜炒腰花', '蒙古烤羊腿', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.595
669,0.015,0.609,"['凉拌菠菜', '焖猪手', '芝士烩波士顿龙虾']",自制猪肉脯,0.42,0.86,0.4,6.595
671,0.015,0.609,"['爆炒猪肝', '美妙绝伦之白莲花']",自制猪肉脯,0.42,0.86,0.4,6.595
681,0.015,0.737,"['凉拌菠菜', '芝士烩波士顿龙虾', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.595
